Question,Agent Bucket,Tool Bucket,Advisory Bucket,Response Quality,,Second Pass,CoPilot Screen,Gitanjali,Oscar
The customer requested to increase the DDoS protection threshold for specific public IPs from the current limit (10k pps) to a higher value (30k pps) to support expected throughput.,Agent:DDoSIncident,Tool:DetectionTuning,,,,,,,
Would you be able to increase the values of TCP SYN and UDP thresholds for the specified IP addresses?,Agent:DDoSIncident,Tool:DetectionTuning,,,,,,,
What thresholds are being triggered by the alarms?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
What type of traffic is causing these alarms?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
What specific values need to be configured to address the alarms?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Can you confirm if the source IP is from the customer's data center?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Are you able to adjust the threshold values on the specified network components?,Agent:DDoSIncident,Tool:DetectionTuning,,,,,,,
"The customer asked about guidance and validation regarding the simulated DDoS attack scheduled for May 27, including questions about thresholds and actual packet counts for the DDoS protection.",Agent:DDoSAdvisory,,AttackSimulation,NeedsAdditionalContext,,,,,
"The customer inquired about a specific 504 timeout error message received during the test, seeking clarification on its origin and meaning.",Agent:DDoSAdvisory,,AppGWandWAF,,,,,Good,Good
"The customer asked about the effectiveness of rate limiting for Layer 7 (application-level) attacks, specifically how it mitigates traffic and protects the application gateway.",Agent:DDoSAdvisory,,AppGWandWAF,,,,,Good,Good
"The customer sought details on how rate limit thresholds are applied within the protection policies, including whether limits are tracked globally or per specific listener or route path.",Agent:DDoSAdvisory,,AppGWandWAF,,,,,Good,Good
The customer requested information on best practices for scaling backend services and application gateway instances to handle expected load during DDoS simulations or traffic spikes.,Agent:DDoSAdvisory,,AppGWandWAF,,,,,Good,Good
"The customer asked for recommendations on how to implement rate limiting rules, including filtering criteria such as client IP, country, or response content.",Agent:DDoSAdvisory,,AppGWandWAF,,,,,Good,Good
When was the alert triggered?,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
When was the alert cleared?,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
Where are the frequent DDoS mitigations occurring for the customer's Public IP?,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
Why is there a discrepancy between the DDoS packets and DDoS packets dropped for a separate Public IP address?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Why are certain DDoS metrics missing for some Public IP addresses in the monitoring dashboard?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
What is causing the absence of DDoS data for some Public IPs while other IPs show attack data correctly?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Could the known bugs related to missing DDoS metrics on Public IP addresses and metrics not showing be affecting the customer's case?,Agent:DDoSAdvisory,Tool:AttackProfiling,Metrics,NeedsAdditionalContext,,,,,
"Are the Public IP addresses associated with a Load Balancer, and how does this impact the visibility of DDoS metrics?",Agent:DDoSIncident,Tool:ResourceState,,,,,,,
Are these the IPs where the protection attack is being triggered?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Can you help us understand and possibly mitigate why our outbound traffic triggers the protection in the future?,Agent:DDoSIncident,Tool:DetectionTuning,,,,,,,
Why is the system reporting that no protection is active despite the observed attack activity?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Can the customer verify by clicking on the relevant protected resource in the portal to confirm its status?,Agent:DDoSIncident,Tool:ResourceState,,,,,,,
Why did the expected mitigation not occur when the monitored metric increased?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
"Why did the protection mechanism fail to trigger, resulting in issues with the load balancer and hosted applications?",Tool:DetectionTuning,Tool:AttackProfiling,,,,,,,
Can the customer confirm if any further technical assistance or information is needed after reviewing the current findings?,NotApplicable,,,,,,,,
Is there a mechanism to whitelist Netskope's source IP addresses to prevent them from being flagged by the protection system?,Agent:DDoSIncident,Tool:DetectionTuning,,,,,,,
What options are available to address the alerts caused by Netskope public IPs being identified as attacks due to UDP connection streams?,Agent:DDoSIncident,Tool:DetectionTuning,,,,,,,
"Can the protection threshold be increased to reduce false positives, and under what conditions would this be recommended?",Agent:DDoSIncident,Tool:DetectionTuning,,,,,,,
"Is it possible for the product group to temporarily whitelist certain IPs, and what are the criteria for such an action?",Agent:DDoSIncident,Tool:DetectionTuning,,,,,,,
"Could disabling protection on specific firewall public IPs serve as a workaround, and how would this impact the use of those IPs by the vendor?",Agent:DDoSIncident,Tool:DetectionTuning,,,,,,,
"The support team asked whether it is possible to increase the DDoS trigger packet limit to 500,000 on the customer's SDWAN devices, as the current setting of 100,000 is causing false positives and dropping valid traffic. They also inquired about the maximum limit that the platform can support for this setting.",Agent:DDoSIncident,Tool:DetectionTuning,,,,,,,
The customer inquired about the timing of an increase in a certain threshold related to the system.,Agent:DDoSAdvisory,Tool:DetectionTuning,Thresolds,Partial,,,,,
The customer sought information about specific system or service identifiers referenced in the case titles.,NotApplicable,,,,,,,,
"A mention of the possibility of false positives occurring within a network security context, suggesting an inquiry or investigation into unusual alerts or detections.",Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
"Why is the virtual machine's public IP address attempting to reach the destination virtual machine's public IP, generating increased UDP traffic?",Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Can the customer verify the reason behind the source virtual machine public IPs initiating connections to the destination VM public IP?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Are there any further details or clarifications the customer can provide regarding the DDoS alerts and the associated IP traffic patterns?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Could the VPN tunnel flapping be related to recent DDoS mitigation activities and changes in outbound thresholds?,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
Is there any DDoS protection enabled on the virtual network where the issue is occurring?,Agent:DDoSAdvisory,Tool:ResourceState,Billing,Good,,,,,
"Are both VPN tunnels acting as backups with minimal traffic, and could the flapping be caused by Dead Peer Detection (DPD)?",Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
Is there any unusual activity visible on the support dashboards or monitoring tools that could explain the tunnel instability?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Why is the Palo Alto network virtual appliance (NVA) dropping the keepalive messages sent by the Zscaler endpoint?,Agent:DDoSAdvisory,,NVA,NeedsAdditionalContext,,,,,
Could the issue be due to the guest operating system on the NVA not responding properly to keepalive messages from the on-premises tunnel?,Agent:DDoSAdvisory,,NVA,NeedsAdditionalContext,,,,,
The customer expressed uncertainty about the effectiveness of enabling DDoS protection for a specific IP address.,Agent:DDoSAdvisory,Tool:ResourceState,ProvisioningConfiguration,NeedsAdditionalContext,,,,,
The customer inquired about methods to test the effectiveness of the DDoS protection for that IP address.,Agent:DDoSAdvisory,,AttackSimulation,NeedsPromptImprovement,,,,,
What is the volume of the attack?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
"Can this cause the slowdowns and packet losses on the affected resource, or can you fully mitigate it?",Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Are we hitting some sort of VPN capacity limit?,Agent:DDoSAdvisory,,VPNGateway,NeedsAdditionalContext,,,,,
Is this the cause of packet loss and how can it be mitigated?,Agent:DDoSIncident,Tool:AttackProfiling,,Other resources,,,,,
Is the DDoS attack related to the connectivity and slowness issues on the particular VPN tunnel?,Agent:DDoSIncident,Tool:AttackProfiling,,Other resources,,,,,
"Should we adjust the DDoS mitigation threshold, or would you prefer to investigate the application further?",Agent:DDoSIncident,Tool:DetectionTuning,,,,,,,
"Is 100k packets per second typical for NATed resources, and how can this be managed?",Agent:DDoSAdvisory,Tool:DetectionTuning,Thresolds,NeedsAdditionalContext,,,,,
Would the DDoS Protection service be effective if associated with a virtual network (VNet) that is integrated with the specified service?,Agent:DDoSAdvisory,Tool:ResourceState,ResourceCoverage,NeedsAdditionalContext,,,,,
What caused the sudden increase in incoming traffic from certain IP addresses identified as part of the customer's infrastructure?,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
Are the IP addresses involved recognized and verified by the customer's team?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Can the customer confirm if the traffic thresholds for packets per second are correctly set for their environment?,Agent:DDoSIncident,Tool:DetectionTuning,,,,,,,
Is the DDoS mitigation triggered appropriate and functioning as expected based on the traffic patterns observed?,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
Details about the cloud-native nature of the DDoS protection service and its reliance on hardware or virtual firewalls?,Agent:DDoSAdvisory,,Functionality,Good,,,,,
How mitigation is managed at the service edge?,Agent:DDoSAdvisory,,Functionality,Good,,,,,
"Coverage of different attack layers, specifically L3/L4 attacks by the DDoS service and L7 attacks by the Web Application Firewall (WAF)?",Agent:DDoSAdvisory,,Functionality,Good,,,,,
"The use of heuristics, custom rules, and the absence of deep packet inspection with App-ID in the WAF?",Agent:DDoSAdvisory,,AppGWandWAF,,,,,NeedsAdditionalContext,NeedsAdditionalContext
The role of adaptive tuning and machine learning in defining detection thresholds?,Agent:DDoSAdvisory,,Functionality,Good,,,,,
Support for custom signature-based detection within the DDoS protection and WAF?,Agent:DDoSAdvisory,,AppGWandWAF,NeedsAdditionalContext,,,,Partial,NeedsAdditionalContext
Integration and sources of threat intelligence feeds used by the service?,Agent:DDoSAdvisory,,AppGWandWAF,,,,,Good,Good
"Configuration granularity of DDoS IP protection policies per public IP and WAF policies per application and rule, noting the lack of per-user DDoS policies?",Agent:DDoSAdvisory,,Functionality,Good,,,,,
Suitability of the service for hybrid deployment scenarios and the requirement for third-party on-premises solutions in such cases?,Agent:DDoSAdvisory,,Functionality,Good,,,,,
Adaptive learning capabilities that build traffic baselines and dynamically adjust thresholds?,Agent:DDoSAdvisory,,Functionality,Good,,,,,
Can you confirm if there are any virtual networks present in the subscription linked to the DDoS protection plan?,Agent:DDoSAdvisory,Tool:ResourceState,CRUD,Good,,,,,
Have you tried disabling the DDoS standard protection on the virtual network as per the documentation?,Agent:DDoSAdvisory,Tool:ResourceState,CRUD,Good,,,,,
"Are there any error messages when attempting to delete the DDoS protection plan, and what do they indicate?",Agent:DDoSAdvisory,Tool:ResourceState,CRUD,NeedsAdditionalContext,,,,,
Can you provide the details or logs related to the DDoS protection plan and associated virtual networks?,Agent:DDoSAdvisory,Tool:ResourceState,CRUD,NeedsAdditionalContext,,,,,
Have you checked if the subscriptions linked to the virtual networks are active or deleted?,Agent:DDoSAdvisory,Tool:ResourceState,CRUD,NeedsAdditionalContext,,,,,
"After waiting for 48 hours post-subscription deletion, did you attempt to delete the DDoS protection plan again, and what was the outcome?",Agent:DDoSAdvisory,Tool:ResourceState,CRUD,NeedsAdditionalContext,,,,,
Can you confirm whether the stale references to virtual networks have been removed or deleted by the backend team?,Agent:DDoSAdvisory,Tool:ResourceState,CRUD,NeedsAdditionalContext,,,,,
Are you able to delete the protection plan now after the stale references were cleared?,Agent:DDoSAdvisory,Tool:ResourceState,CRUD,NeedsAdditionalContext,,,,,
Can you provide the timeline when you attempted to delete the protection plan to assess eligibility for a refund?,Agent:DDoSAdvisory,,Billing,NeedsAdditionalContext,,,,,
Are the IP addresses shared by the customer compliant with expected traffic patterns?,Agent:DDoSIncident,Tool:AttackProfiling,,NeedsAdditionalContext,,,,,
Can you confirm if the high number of connections observed on the network virtual appliance (NVA) is related to a DDoS attack?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
"Have you reviewed the DDoS Protection analytics, metrics, and alerting to verify if mitigation policies have been triggered?",Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
"What are the current connection limits set on the NVA, and have you considered optimizing them?",Agent:DDoSAdvisory,,NVA,Partial,,,,,
Have connection timeouts been configured to close idle or long-lasting connections?,Agent:DDoSAdvisory,,NVA,Partial,,,,,
Is it possible to implement rate-limiting or block specific IP ranges to manage traffic volume?,Agent:DDoSAdvisory,,NVA,Partial,,,,,
Can you provide details from the organization’s dashboard regarding traffic volume and behavior on the affected IPs?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Is it possible to delete the DDoS protection plan from the backend?,Agent:DDoSAdvisory,Tool:ResourceState,CRUD,Good,,,,,
Can the customer enable the subscriptions to remove the DDoS protection plan link and then delete the plan?,Agent:DDoSAdvisory,Tool:ResourceState,CRUD,Good,,,,,
Why does the error occur stating that the DDoS protection plan cannot be deleted because it is in use with virtual networks?,Agent:DDoSAdvisory,Tool:ResourceState,CRUD,Good,,,,,
"Are the subscriptions containing the virtual networks currently in a disabled state, and how does that affect deleting the DDoS protection plan?",Agent:DDoSAdvisory,Tool:ResourceState,CRUD,Good,,,,,
Can the PowerShell command to remove the DDoS protection plan be executed successfully under the current subscription status?,Agent:DDoSAdvisory,Tool:ResourceState,CRUD,Good,,,,,
"Has the customer linked the DDoS protection to any virtual network, or is it only linked to the public IP?",Agent:DDoSAdvisory,Tool:ResourceState,CRUD,Good,,,,,
Has the customer enabled diagnostic logs for the DDoS protection to help identify the cause of the issue?,Agent:DDoSAdvisory,Tool:ResourceState,LogAndAttackAnalytics,NeedsAdditionalContext,,,,,
What are the specific diagnostic settings currently enabled?,Agent:DDoSAdvisory,Tool:ResourceState,LogAndAttackAnalytics,NeedsAdditionalContext,,,,,
Is the antivirus behind the protection interfering with the DDoS protection functionality?,Agent:DDoSAdvisory,,,Good,,,,,
Can the customer confirm the name of the public IP and the associated virtual machine?,NotApplicable,,,NeedsAdditionalContext,,,,,
Are the IP addresses detected hitting the server known IPs or potentially malicious?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
How can the customer identify the IP addresses hitting their public IP from their end?,Agent:DDoSAdvisory,Tool:AttackProfiling,LogAndAttackAnalytics,Good,,,,,
What is the threshold for detecting a DDoS pattern in the protection system?,Agent:DDoSAdvisory,Tool:DetectionTuning,,Good,,,,,
Has the customer created alert rules under the public IP address to receive notifications when attack requests exceed the limit?,Agent:DDoSAdvisory,,Notifications,NeedsAdditionalContext,,,,,
Is there any reason why this resource is being targeted repeatedly?,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
Is there anything we can do to resolve or eliminate this issue?,NotApplicable,,,,,,,,
Can you remove the DDoS protection plan from the virtual network and then try deleting it?,Agent:DDoSAdvisory,Tool:ResourceState,CRUD,Good,,,,,
Have you dissociated all virtual networks from the DDoS protection plan before attempting deletion?,Agent:DDoSAdvisory,Tool:ResourceState,CRUD,Good,,,,,
"If you continue to face issues, can you try running the provided PowerShell or Azure CLI commands to update the virtual network and disable DDoS protection?",Agent:DDoSAdvisory,Tool:ResourceState,CRUD,Good,,,,,
"After running these commands, does the deletion of the DDoS protection plan succeed?",Agent:DDoSAdvisory,Tool:ResourceState,CRUD,Good,,,,,
Are there any further errors or issues encountered when trying to delete the DDoS protection plan after these steps?,Agent:DDoSAdvisory,Tool:ResourceState,CRUD,Good,,,,,
Can you confirm if you have the appropriate owner access to the subscription?,Agent:DDoSAdvisory,Tool:ResourceState,CRUD,Good,,,,,
Have you tried using the portal preview link or PowerShell option to create the protection plan?,Agent:DDoSAdvisory,Tool:ResourceState,ProvisioningConfiguration,Good,,,,,
Are you able to create the protection plan using the preview link?,NotApplicable,Tool:ResourceState,ProvisioningConfiguration,,,,,,
Have you associated your already created virtual network to the protection plan?,Agent:DDoSAdvisory,Tool:ResourceState,ProvisioningConfiguration,Good,,,,,
Did you notice that one of the protection plans is not listed in the plan?,Agent:DDoSAdvisory,Tool:ResourceState,ProvisioningConfiguration,Good,,,,,
Can you check with the preview portal link again to see if the missing protection plan appears?,NotApplicable,Tool:ResourceState,ProvisioningConfiguration,,,,,,
"Are you able to add the DDoS plan from the portal, or are you encountering access issues?",Agent:DDoSAdvisory,Tool:ResourceState,ProvisioningConfiguration,Good,,,,,
Can you try adding the DDoS plan from the portal as previously suggested?,Agent:DDoSAdvisory,Tool:ResourceState,ProvisioningConfiguration,Good,,,,,
How do I know that my resources are protected?,Agent:DDoSAdvisory,Tool:ResourceState,ProvisioningConfiguration,Good,,,,,
What monitoring data are available to see the protection plan acting?,Agent:DDoSAdvisory,Tool:AttackProfiling,LogAndAttackAnalytics,Good,,,,,
When will I see values inside the monitoring data and how can I be warned or get notifications that the protection plan is triggered?,Agent:DDoSAdvisory,Tool:AttackDetection,Metrics,Good,,,,,
How can I access the monitoring data for one protection plan?,Agent:DDoSAdvisory,Tool:AttackDetection,Metrics,Good,,,,,
What mitigation would you suggest for the ongoing traffic issue?,Agent:DDoSAdvisory,,ProvisioningConfiguration,Good,,,,,
What is the source of the IP addresses identified?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Can you try again to disassociate the three virtual networks from the DDoS protection plan?,Agent:DDoSAdvisory,Tool:ResourceState,CRUD,Good,,,,,
Have you attempted to disassociate the DDoS protection plan from the virtual networks using the command-line interface as demonstrated?,Agent:DDoSAdvisory,Tool:ResourceState,CRUD,Good,,,,,
Are you able to delete the DDoS protection plan after attempting the suggested PowerShell commands?,Agent:DDoSAdvisory,Tool:ResourceState,CRUD,Good,,,,,
Is the DDoS protection plan still associated with any virtual networks despite previous checks indicating otherwise?,Agent:DDoSAdvisory,Tool:ResourceState,CRUD,Good,,,,,
Have you tried the alternative command to remove the DDoS protection plan if the initial approach did not work?,Agent:DDoSAdvisory,Tool:ResourceState,CRUD,Good,,,,,
Are you encountering any specific error messages when attempting to delete the DDoS protection plan?,Agent:DDoSAdvisory,Tool:ResourceState,CRUD,NeedsAdditionalContext,,,,,
Is this a real DDoS attack on the customer's public IP address?,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
What are the details of the detected DDoS attack?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
From which IP addresses did the attack originate?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Have you confirmed if the incoming traffic from the two IPs is allowed?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Can you confirm the resources attached to these two IPs?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
How can you monitor the amount of incoming traffic from these sources to validate normal operation levels?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
How to identify if incoming traffic is a false positive or a fake DDoS attack?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Which incoming IPs should be blocked given the inability to collect certain information?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Is there a way for the customer to collect source IP and related information using a query or automated means?,Agent:DDoSAdvisory,Tool:AttackProfiling,LogAndAttackAnalytics,Partial,,,,,
Why is there a difference between total packets and dropped packets despite the DDoS threshold being set at 20K?,Agent:DDoSAdvisory,Tool:AttackProfiling,LogAndAttackAnalytics,Good,,,,,
How to implement a custom query to match DDoS thresholds in reports?,Agent:DDoSAdvisory,Tool:AttackProfiling,LogAndAttackAnalytics,Good,,,,,
How to collect source IP and related information for proper planning of DDoS mitigation?,Agent:DDoSAdvisory,Tool:AttackProfiling,LogAndAttackAnalytics,Good,,,,,
How to identify the source IP that triggered mitigation and gain clarity on alert triggers?,Agent:DDoSIncident,Tool:AttackProfiling,LogAndAttackAnalytics,,,,,,
How to set up diagnostic logging and alerts for DDoS protection to enable querying of flow logs?,Agent:DDoSAdvisory,Tool:AttackProfiling,LogAndAttackAnalytics,Good,,,,,
How to analyze packet per second (pps) values to determine operational thresholds?,Agent:DDoSAdvisory,Tool:AttackProfiling,Thresholds,Partial,,,,,
How to interpret DDoS mitigation reports to distinguish between legitimate and false alerts?,Agent:DDoSAdvisory,Tool:AttackProfiling,LogAndAttackAnalytics,Good,,,,,
Which public IP address is under attack?,Agent:DDoSIncident,Tool:AttackProfiling,LogAndAttackAnalytics,,,,,,
When did the problem start?,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
"Can you provide information on which resource was under attack, as the customer cannot see what resource had that IP assigned?",Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Which resources are protected by the DDoS protection plan?,Agent:DDoSAdvisory,Tool:ResourceState,ResourceCoverage,Good,,,,,
Is there a query to check which public IPs are protected by the DDoS plan?,Agent:DDoSAdvisory,Tool:ResourceState,ResourceCoverage,Partial,,,,,
What does the customer see under the protected resources section as described in the official documentation for managing DDoS protection?,Agent:DDoSAdvisory,Tool:ResourceState,ResourceCoverage,Good,,,,,
Can an IP listed under Protected Resources but missing from the cost report be reviewed to determine if it is linked to any resource and clarify the discrepancy?,Agent:DDoSAdvisory,Tool:ResourceState,Billing,Good,,,,,
Is the baseline default threshold?,Agent:DDoSAdvisory,Tool:ResourceState,Thresholds,NeedsAdditionalContext,,,,,
Can we review the threshold/baseline?,Agent:DDoSAdvisory,Tool:ResourceState,Thresholds,NeedsAdditionalContext,,,,,
How can the customer change the VNet DDoS plan to the IP protection plan?,Agent:DDoSAdvisory,,ProvisioningConfiguration,Good,,,,,
Are there any updates regarding the issue?,NotApplicable,,,,,,,,
Can we schedule a live meeting to discuss or address any concerns?,NotApplicable,,,,,,,,
Is there a limitation or bug affecting the product’s compatibility with the customer’s environment or portal display?,NotApplicable,,,,,,,,
Is the issue related to a third-party component or unsupported configuration?,NotApplicable,,,,,,,,
Is the problem within the support scope or outside of it?,NotApplicable,,,,,,,,
Has there been a server outage or service issue impacting functionality?,NotApplicable,,,,,,,,
How will billing and charges be applied for the centralized DDoS protection plan?,Agent:DDoSAdvisory,Tool:ResourceState,Billing,Good,,,,,
"What is the billing model for the protection plan—specifically, is it charged on a per-hour basis?",Agent:DDoSAdvisory,Tool:ResourceState,Billing,Good,,,,,
How are the charges calculated based on the duration the protection plan was active?,Agent:DDoSAdvisory,Tool:ResourceState,Billing,Good,,,,,
Why are blocked IPs at the application layer not visible in DDoS protection or logs?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Why are certain IP addresses flagged in one monitoring system’s logs but not by DDoS protection?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
How to verify if an IP address is malicious and check IP reputation?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Is the protection plan in use working properly and have there been any attacks in the past three years?,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
How to attach a storage account to the protection system to collect logs?,Agent:DDoSAdvisory,,LogAndAttackAnalytics,Good,,,,,
Will logs stored in the storage account be retained indefinitely unless manually deleted?,Agent:DDoSAdvisory,,LogAndAttackAnalytics,Good,,,,,
How to deploy a storage account specifically for collecting DDoS logs?,Agent:DDoSAdvisory,,LogAndAttackAnalytics,Good,,,,,
Would you like to understand the monitoring usage and metrics for the protected resources?,Agent:DDoSAdvisory,,Metrics,Good,,,,,
Do you want to know the source IPs causing the DDoS events?,Agent:DDoSIncident,Tool:AttackProfiling,LogAndAttackAnalytics,Good,,,,,
Are you able to configure metric alerts through the provided documentation?,Agent:DDoSAdvisory,,Metrics,Good,,,,,
Have you enabled diagnostic settings for metrics and run the log analytics query to find source IPs of incoming traffic?,Agent:DDoSAdvisory,,Metrics,Good,,,,,
"Are you using a custom workbook, and is it correctly configured?",Agent:DDoSAdvisory,,Metrics,Partial,,,,,
Are you encountering errors when loading metrics in the workbook created from the monitoring tool?,Agent:DDoSAdvisory,,Metrics,Partial,,,,,
Have you reviewed the resource provided for utilizing the workbook for DDoS attack traffic analysis?,Agent:DDoSAdvisory,,Metrics,Partial,,,,,
Can you confirm if you have tried the suggested configurations or resources to troubleshoot the custom workbook issue?,Agent:DDoSAdvisory,,Metrics,Partial,,,,,
Did the customer observe any 429 errors during the timeframe?,NotApplicable,,,,,,,,
Are the observed values based on the customer's test?,NotApplicable,,,,,,,,
Do we have a similar pattern observed from our logs?,NotApplicable,,,,,,,,
Is the customer expecting very high traffic?,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
Was any business justification provided to indicate the increase in quota?,NotApplicable,,,,,,,,
Is there any similar scenario or configuration that was referred to for comparison?,NotApplicable,,,,,,,,
Can the customer provide the plan resource ID related to the service?,Agent:DDoSAdvisory,Tool:ResourceState,ResourceCoverage,Good,,,,,
Is the request related to a specific simulation or attack scenario?,Agent:DDoSAdvisory,,AttackSimulation,Good,,,,,
What is the expected rate and URI for the DDoS simulation plans requiring approval?,Agent:DDoSAdvisory,,AttackSimulation,Good,,,,,
The customer inquired about details related to a detected DDoS attack on a public IP and sought further information about the incident and mitigation.,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
The engineer asked the customer to provide more insights and details about the alert and the issue they were experiencing.,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
The customer was unable to retrieve complete analytics logs due to output limits being exceeded and questioned why certain queries returned no results despite expecting outputs.,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
The support team requested the customer’s availability to schedule an online session to troubleshoot the log query together.,NotApplicable,,,,,,,,
The customer sought clarification regarding notifications received from the cloud defender service and the inability to locate related IP and logs.,NotApplicable,,,,,,,,
The engineer explained the dynamic assignment and rotation of IP addresses during the attack and addressed why the customer could not query logs for a specific internal IP.,NotApplicable,,,,,,,,
Whether creating a DDoS protection plan in a region different from the protected resource might cause latency.,Agent:DDoSAdvisory,,Functionality,Good,,,,,
Is the DDoS protection plan supported on the managed virtual network (VNet) by the bricks team?,Agent:DDoSAdvisory,,Functionality,Good,,,,,
Can the deny assignment on the managed resource group be unlocked or modified to allow the requested network security group rule changes?,NotApplicable,,,,,,,,
"Is it feasible to enable DDoS protection on a VNet that is managed by the bricks team, considering the deny assignments in place?",Agent:DDoSAdvisory,,ProvisioningConfiguration,Good,,,,,
The customer inquired about identifying the source location of the DDoS attack.,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
The customer wanted to find the source IP addresses involved in the DDoS alert.,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
The customer expected to see a list of IPs and top talkers causing the traffic.,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
The customer asked to check the top talkers but mentioned they do not have access to the workspace.,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
The support engineer sought confirmation from the customer regarding whether the identified traffic is legitimate or expected.,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
The customer requested guidance on how to view logs and metrics related to the DDoS mitigation event.,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
"How can I get the DDoS protection removed when nothing appears to be connected to a firewall or public IP, yet charges are still incurred?",Agent:DDoSAdvisory,,CRUD,Good,,,,,
Can you confirm whether the DDoS protection service is truly enabled or disabled?,Agent:DDoSAdvisory,Tool:ResourceState,ResourceCoverage,Good,,,,,
Can I turn off the DDoS protection plan immediately?,Agent:DDoSAdvisory,Tool:ResourceState,CRUD,Good,,,,,
Can I request a refund for the incurred costs since the service was never active?,Agent:DDoSAdvisory,Tool:ResourceState,Billing,Partial,,,,,
"Is there any resource, such as Virtual Networks (VNets) or others, currently associated with the DDoS protection plan?",Agent:DDoSAdvisory,Tool:ResourceState,CRUD,Good,,,,,
How can the customer obtain historical data related to DDoS attacks within the workspace?,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
Is it possible to disable and enable DDoS protection only when an attack occurs?,Agent:DDoSAdvisory,Tool:ResourceState,CRUD,Good,,,,,
How is the customer checking the logs?,Agent:DDoSAdvisory,,LogAndAttackAnalytics,Good,,,,,
What error is the customer encountering when accessing the logs or metrics?,Agent:DDoSAdvisory,,LogAndAttackAnalytics,NeedsAdditionalContext,,,,,
Should collaboration be initiated with the specified team to address the issue?,NotApplicable,,,,,,,,
Is there any missing information or step in the current analysis that needs attention?,NotApplicable,,,,,,,,
The customer requested a list of IP addresses associated with the attack on the specified public IP.,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
"Clarification on the timing and details of the attack, specifically noting the source port used during the event.",Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
Awaiting confirmation or additional information from the customer regarding the provided top talkers IP list and attack details.,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Inquiry about the automatic learning period of DDoS traffic patterns.,Agent:DDoSAdvisory,,Functionality,,,,,,
Request for more information about the on-premises IP range.,NotApplicable,,,,,,,,
